"EngDispl","NumCyl","Transmission","FE","AirAspirationMethod","NumGears","TransLockup","TransCreeperGear","DriveDesc","IntakeValvePerCyl","ExhaustValvesPerCyl","CarlineClassDesc","VarValveTiming","VarValveLift"
4.7,8,"AM7",28.793,"NaturallyAspirated",7,0,0,"TwoWheelDriveRear",2,2,"2Seaters",1,0
6.5,12,"S7",22.6242,"NaturallyAspirated",7,1,0,"AllWheelDrive",2,2,"2Seaters",1,0
4.8,10,"S6",21.9632,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",2,2,"2Seaters",1,0
6.2,8,"AM7",26.7967,"NaturallyAspirated",7,1,0,"TwoWheelDriveRear",2,2,"2Seaters",1,0
1.6,4,"S6",50.9588,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"2Seaters",1,1
1.6,4,"M6",52.5455,"NaturallyAspirated",6,0,0,"TwoWheelDriveFront",2,2,"2Seaters",1,1
1.6,4,"S6",49.6413,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"2Seaters",1,1
1.6,4,"M6",49.1607,"NaturallyAspirated",6,0,0,"TwoWheelDriveFront",2,2,"2Seaters",1,1
1.6,4,"S6",47.8871,"Turbocharged",6,1,0,"TwoWheelDriveFront",2,2,"2Seaters",1,1
1.6,4,"M6",50.0888,"Turbocharged",6,0,0,"TwoWheelDriveFront",2,2,"2Seaters",1,1
1.6,4,"S6",47.8871,"Turbocharged",6,1,0,"TwoWheelDriveFront",2,2,"2Seaters",1,1
1.6,4,"M6",50.0888,"Turbocharged",6,0,0,"TwoWheelDriveFront",2,2,"2Seaters",1,1
1.6,4,"M6",46.4353,"Turbocharged",6,0,0,"TwoWheelDriveFront",2,2,"2Seaters",1,0
1.6,4,"M6",46.4353,"Turbocharged",6,0,0,"TwoWheelDriveFront",2,2,"2Seaters",1,0
3.4,6,"A7",41.347,"NaturallyAspirated",7,1,0,"TwoWheelDriveRear",2,2,"2Seaters",1,1
3.4,6,"M6",37.055,"NaturallyAspirated",6,0,0,"TwoWheelDriveRear",2,2,"2Seaters",1,1
5.9,12,"S6",25.3442,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",2,2,"MinicompactCars",0,0
